X1,X2,X3,X4,gesture
139,262,220,61,I want water
138,267,212,57,I want water
142,264,61,55,I want water
151,273,72,60,I want water
162,286,260,58,I want water
164,283,281,58,I want water
162,289,271,64,I want water
146,277,254,59,I want water
179,290,267,66,I want water
158,280,272,45,I want water
184,279,271,58,I want water
152,220,213,60,I want water
169,275,226,76,I want water
176,271,226,77,I want water
172,278,250,76,I want water
181,270,244,64,I want water
188,280,254,78,I want water
203,288,255,82,I want water
187,280,267,79,I want water
184,283,261,72,I want water
189,287,245,77,I want water
188,279,249,80,I want water
208,289,262,81,I want water
183,283,264,74,I want water
174,276,272,83,I want water
193,288,279,73,I want water
178,275,270,84,I want water
187,275,250,87,I want water
182,277,266,85,I want water
189,237,221,77,I want water
80,222,265,39,I want food
84,259,294,52,I want food
92,222,264,50,I want food
101,245,280,49,I want food
90,245,284,57,I want food
91,234,277,55,I want food
89,263,306,48,I want food
93,237,306,51,I want food
91,248,296,46,I want food
90,267,306,49,I want food
80,243,305,53,I want food
82,263,310,62,I want food
81,269,316,66,I want food
81,245,315,52,I want food
82,268,314,63,I want food
77,260,318,55,I want food
78,255,312,55,I want food
81,271,325,52,I want food
83,257,323,60,I want food
86,273,329,62,I want food
86,283,330,59,I want food
86,268,326,62,I want food
82,268,320,63,I want food
83,303,325,60,I want food
84,298,328,59,I want food
85,310,324,62,I want food
85,298,323,59,I want food
81,303,319,57,I want food
82,300,329,55,I want food
79,293,324,48,I want food
49,163,301,9,I need medicines
52,181,295,11,I need medicines
53,180,314,12,I need medicines
53,184,341,13,I need medicines
54,184,351,14,I need medicines
54,181,339,12,I need medicines
55,188,340,13,I need medicines
55,186,355,13,I need medicines
55,181,306,12,I need medicines
54,180,344,14,I need medicines
51,171,273,8,I need medicines
84,207,265,62,I need medicines
52,184,264,8,I need medicines
58,195,300,14,I need medicines
55,197,317,13,I need medicines
95,215,280,51,I need medicines
70,214,281,27,I need medicines
47,193,313,10,I need medicines
48,197,325,18,I need medicines
41,113,15,3,I need medicines
77,156,396,40,I need medicines
80,164,410,42,I need medicines
78,160,375,43,I need medicines
76,140,360,37,I need medicines
79,146,377,40,I need medicines
80,147,388,42,I need medicines
79,145,381,40,I need medicines
78,143,376,39,I need medicines
79,140,379,40,I need medicines
78,142,360,38,I need medicines
129,239,274,90,I want to go to washroom
110,251,288,42,I want to go to washroom
147,266,299,64,I want to go to washroom
129,265,304,101,I want to go to washroom
139,241,278,109,I want to go to washroom
133,245,281,137,I want to go to washroom
138,275,313,142,I want to go to washroom
151,255,288,158,I want to go to washroom
147,289,331,168,I want to go to washroom
161,295,325,79,I want to go to washroom
142,274,314,135,I want to go to washroom
133,264,301,54,I want to go to washroom
132,256,287,54,I want to go to washroom
127,243,280,125,I want to go to washroom
